Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Updated On
vardan hospital,NA,N/A,14 ,10,N/A, 0,N/A,, -,TB,07-05 03:48:16
CHC Kharora,NA,N/A,0 ,16,N/A, 0,N/A,, -,TB,07-05 03:48:19
New Raipura Hospital,NA,N/A,16 ,3,N/A, 0,N/A,, -,TB,07-05 03:48:23
Railway Mandal Chikitsalaya Raipur,NA,N/A,3 ,12,N/A, 0,N/A,, -,TB,07-05 03:48:27
Shree Medishine Hospital Raipur,NA,N/A,15 ,70,N/A, 0,N/A, | D | Dinesh meraviApril 27- 2021 | Please mention contact no, -,TB,07-05 03:48:30
shree sai paikra hospital,NA,N/A,6 ,0,N/A, 0,N/A,, -,TB,07-05 03:48:33
GOVT. PT. SHYAMACHARAN SHUKLA COLLEGE- DHARSIWA-,NA,N/A,35 ,15,N/A, 0,N/A,, -,TB,07-05 03:48:37
Dhanwantri vancer & Joint Replacement center,NA,N/A,0 ,8,N/A, 0,N/A,, -,TB,07-05 03:48:40
OM Hospital Raipur,NA,N/A,10 ,10,N/A, 0,N/A,, -,TB,07-05 03:48:44
CG Hospital,NA,N/A,1 ,6,N/A, 0,N/A,, -,TB,07-05 03:48:47
Divan multispeciality hospital,NA,N/A,0 ,21,N/A, 0,N/A,, -,TB,07-05 03:48:50
agarwal institute of sciences pvt ltd raipur cg,NA,N/A,15 ,12,N/A, 0,N/A,, -,TB,07-05 03:48:54
vidya hospital,NA,N/A,2 ,0,N/A, 0,N/A,, -,TB,07-05 03:48:58
smc heart institute and ivf research centre,NA,N/A,0 ,36,N/A, 0,N/A,, -,TB,07-05 03:49:02
khushi hospital,NA,N/A,9 ,15,N/A, 0,N/A,, -,TB,07-05 03:49:06
Roop Jeevan Hospital Devendra Nagar,NA,N/A,3 ,6,N/A, 0,N/A,, -,TB,07-05 03:49:09
Mahadeva hospital dawada colony raipur,NA,N/A,20 ,13,N/A, 0,N/A,, -,TB,07-05 03:49:13
Sankalp Hospital Raipur,NA,N/A,20 ,60,N/A, 0,N/A,, -,TB,07-05 03:49:16
RIMS Raipur,NA,N/A,90 ,30,N/A, 0,N/A,, -,TB,07-05 03:49:20
Community Hall Arang ccc,NA,N/A,0 ,50,N/A, 0,N/A,, -,TB,07-05 03:49:23
Shri Krishna Hospital Raipur,NA,N/A,7 ,5,N/A, 0,N/A,, -,TB,07-05 03:49:26
shri krishna hospital kharora,NA,N/A,8 ,0,N/A, 0,N/A,, -,TB,07-05 03:49:30
karuna shree hospital raipur,NA,N/A,0 ,0,N/A, 0,N/A,, -,TB,07-05 03:49:33
Yashoda Children's Hospital,NA,N/A,0 ,10,N/A, 0,N/A,, -,TB,07-05 03:49:37
Shri Hari krishna hospital raipur,NA,N/A,15 ,13,N/A, 0,N/A,, -,TB,07-05 03:49:40
District Hospital Pandri Raipur,NA,N/A,2 ,6,N/A, 0,N/A,, -,TB,07-05 03:49:44
Lalmati multispeciality Raipur,NA,N/A,2 ,15,N/A, 0,N/A,, -,TB,07-05 03:49:47
C.I.M.T Hospital Raipur,NA,N/A,5 ,15,N/A, 0,N/A,, -,TB,07-05 03:49:51
Ashadeep hospital raipur,NA,N/A,0 ,12,N/A, 0,N/A,, -,TB,07-05 03:49:54
Mahamaya-Superspeciality-Hospital-,NA,N/A,15 ,14,N/A, 0,N/A,, -,TB,07-05 03:49:57
niranjan hospital Raipur,NA,N/A,7 ,3,N/A, 0,N/A,, -,TB,07-05 03:50:01
Anushka hospital raipur amlidih,NA,N/A,0 ,10,N/A, 0,N/A,, -,TB,07-05 03:50:04
laxmi care hospital,NA,N/A,5 ,7,N/A, 0,N/A,, -,TB,07-05 03:50:08
Life Line Hospital,NA,N/A,9 ,2,N/A, 0,N/A,, -,TB,07-05 03:50:11
Shri Narayana Raipur,NA,N/A,10 ,190,N/A, 0,N/A,, -,TB,07-05 03:50:14
swastik nursing home and multi super speciality hospital,NA,N/A,0 ,20,N/A, 0,N/A,, -,TB,07-05 03:50:18
Kriti covid care center,NA,N/A,150 ,50,N/A, 0,N/A,, -,TB,07-05 03:50:21
Sanjeevani CBCC cancer Hospital,NA,N/A,0 ,58,N/A, 0,N/A,, -,TB,07-05 03:50:25
maa sharda hospital and prasuti raipur,NA,N/A,1 ,5,N/A, 0,N/A,, -,TB,07-05 03:50:28
Jivan Anmol Hosptal Raipur,NA,N/A,0 ,18,N/A, 0,N/A,, -,TB,07-05 03:50:32
Balco Cancer Hospital New Raipur,NA,N/A,0 ,54,N/A, 0,N/A,, -,TB,07-05 03:50:35
Spine And Skin Centre hospital raipur,NA,N/A,0 ,4,N/A, 0,N/A,, -,TB,07-05 03:50:38
